Date : 2026-04-08 20:21:17
Directory : c:\Users\Hetu\OneDrive\Blogger
Total : 113 files,  21895 codes, 311 comments, 3454 blanks, all 25660 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         16 |      9,970 |        270 |        440 |     10,680 |
| Markdown   |         85 |      9,086 |          0 |      2,631 |     11,717 |
| PostCSS    |          4 |      2,109 |          8 |        352 |      2,469 |
| XML        |          2 |        535 |          0 |          4 |        539 |
| HTML       |          1 |        114 |          0 |         18 |        132 |
| C#         |          1 |         36 |         24 |          2 |         62 |
| JSON       |          3 |         34 |          0 |          2 |         36 |
| PowerShell |          1 |         11 |          9 |          5 |         25 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        113 |     21,895 |        311 |      3,454 |     25,660 |
| . (Files)                                                                          |          9 |      1,411 |          0 |        398 |      1,809 |
| Resources                                                                          |         83 |      8,394 |         24 |      2,259 |     10,677 |
| Resources (Files)                                                                  |          1 |         14 |          0 |          1 |         15 |
| Resources\Articles                                                                 |         80 |      8,305 |         24 |      2,222 |     10,551 |
| Resources\Articles (Files)                                                         |         79 |      8,269 |          0 |      2,220 |     10,489 |
| Resources\Articles\工具集                                                             |          1 |         36 |         24 |          2 |         62 |
| Resources\Assets                                                                   |          1 |         44 |          0 |         22 |         66 |
| Resources\Pages                                                                    |          1 |         31 |          0 |         14 |         45 |
| css                                                                                |          4 |      2,109 |          8 |        352 |      2,469 |
| js                                                                                 |         10 |      9,158 |        208 |        246 |      9,612 |
| js (Files)                                                                         |          6 |      8,271 |        183 |        149 |      8,603 |
| js\views                                                                           |          4 |        887 |         25 |         97 |      1,009 |
| scripts                                                                            |          7 |        823 |         71 |        199 |      1,093 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Hetu\OneDrive\Blogger\AGENTS.md                                           | Markdown   |        234 |          0 |        119 |        353 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\1.C#多线程入门概念及技巧.md                | Markdown   |         71 |          0 |         28 |         99 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\1.前置知识.md                        | Markdown   |        258 |          0 |         49 |        307 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\1.工厂方法模式.md                      | Markdown   |         42 |          0 |          3 |         45 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\1.设计模式面试常考点.md                   | Markdown   |         77 |          0 |         24 |        101 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\1.责任链模式.md                       | Markdown   |         36 |          0 |          8 |         44 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\1.适配器模式.md                       | Markdown   |         85 |          0 |         47 |        132 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\10.访问者模式.md                      | Markdown   |         47 |          0 |          9 |         56 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\11.解释器模式.md                      | Markdown   |         36 |          0 |          9 |         45 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\2.C#异步编程的入门概念及核心理念.md            | Markdown   |         78 |          0 |          9 |         87 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\2.Socket套接字.md                   | Markdown   |        111 |          0 |         27 |        138 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\2.命令模式.md                        | Markdown   |         34 |          0 |          7 |         41 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\2.抽象工厂模式.md                      | Markdown   |         97 |          0 |         31 |        128 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\2.数据局部性与系统性能优化.md                | Markdown   |         50 |          0 |         13 |         63 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\2.桥接模式.md                        | Markdown   |         45 |          0 |         12 |         57 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\3.ECS架构设计.md                     | Markdown   |         68 |          0 |         17 |         85 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\3.建造者模式.md                       | Markdown   |        111 |          0 |         44 |        155 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\3.服务端与客户端.md                     | Markdown   |        319 |          0 |         54 |        373 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\3.组合模式.md                        | Markdown   |         49 |          0 |         19 |         68 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\3.迭代器模式.md                       | Markdown   |         48 |          0 |         13 |         61 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\4.中介者模式.md                       | Markdown   |         47 |          0 |          9 |         56 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\4.原型模式.md                        | Markdown   |         37 |          0 |          6 |         43 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\4.对象池设计浅析.md                     | Markdown   |         51 |          0 |         14 |         65 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\4.消息收发.md                        | Markdown   |         31 |          0 |         12 |         43 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\4.装饰器模式.md                       | Markdown   |         48 |          0 |         20 |         68 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\5.单例模式.md                        | Markdown   |          7 |          0 |          2 |          9 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\5.备忘录模式.md                       | Markdown   |         46 |          0 |          8 |         54 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\5.外观模式.md                        | Markdown   |         37 |          0 |         17 |         54 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\5.架构设计.md                        | Markdown   |         59 |          0 |         17 |         76 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\6.MVC、MVP、MVVM架构的异同.md           | Markdown   |        161 |          0 |         89 |        250 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\6.享元模式.md                        | Markdown   |         69 |          0 |         24 |         93 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\6.观察者模式.md                       | Markdown   |         75 |          0 |         16 |         91 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\7.Unity、前端、WinForm中更适合用哪一种架构.md  | Markdown   |        251 |          0 |        144 |        395 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\7.代理模式.md                        | Markdown   |         35 |          0 |          8 |         43 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\7.状态模式.md                        | Markdown   |        100 |          0 |         27 |        127 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\8.策略模式.md                        | Markdown   |         37 |          0 |         17 |         54 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\9.模版方法模式.md                      | Markdown   |         41 |          0 |         10 |         51 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\Addressables.md                  | Markdown   |        128 |          0 |         28 |        156 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\AssetBundle 与 Addressables 对比.md | Markdown   |        189 |          0 |         40 |        229 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\C#-数据结构.md                       | Markdown   |        351 |          0 |         27 |        378 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\C++-数据结构.md                      | Markdown   |        252 |          0 |         68 |        320 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\LINQ常用查找操作.md                    | Markdown   |        263 |          0 |        140 |        403 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\Layer.md                         | Markdown   |         94 |          0 |         40 |        134 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\Mahjong流程设计-大厅.md                | Markdown   |        155 |          0 |         45 |        200 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\Mahjong流程设计-对局.md                | Markdown   |        383 |          0 |         84 |        467 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\Mahjong规则文档.md                   | Markdown   |         94 |          0 |         21 |        115 |
| c:\Users\Hetu\OneDrive\Blogger\Resources\Articles\Unity中的特殊文件夹.md                  | Markdown   |        163 |          0 |         37 |        200 |
